assembly_accession;bioproject;biosample;wgs_master;excluded_from_refseq;refseq_category;relation_to_type_material;taxid;species_taxid;organism_name;infraspecific_name;isolate;version_status;assembly_level;release_type;genome_rep;seq_rel_date;asm_name;submitter;gbrs_paired_asm;paired_asm_comp;ftp_path;filename;Completeness;;Contamination;directory;contigs_file;proteins_file;genes_file;Size;GC;New_Genus;New_Species;Strain;TypeSpecies
GCA_002018015.1;PRJNA239118;SAMN02745640;MWLE00000000.1;;na;;1943583;431041;Candidatus Synechococcus spongiarum LMB bulk15N;;LMB bulk15N;latest;Scaffold;Major;Full;2017/03/03;ASM201801v1;DOE Joint Genome Institute;GCF_002018015.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/018/015/GCA_002018015.1_ASM201801v1;GCA_002018015.1_ASM201801v1;73.91;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_002018015.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002018015.1_ASM201801v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002018015.1_ASM201801v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002018015.1_ASM201801v1_genomic_prodigal_genes.fna;1.472743;0.5980289840114671;Synechospongium;spongiarum;LMB bulk15N;no
GCA_002018045.1;PRJNA239126;SAMN02745638;MWLD00000000.1;derived from single cell;na;;1943582;431041;Candidatus Synechococcus spongiarum LMB bulk15M;;LMB bulk15M;latest;Scaffold;Major;Full;2017/03/03;ASM201804v1;DOE Joint Genome Institute;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/018/045/GCA_002018045.1_ASM201804v1;GCA_002018045.1_ASM201804v1;79.21;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_002018045.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002018045.1_ASM201804v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002018045.1_ASM201804v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002018045.1_ASM201804v1_genomic_prodigal_genes.fna;1.500513;0.6000627785297429;Synechospongium;spongiarum;LMB bulk15M;no
GCA_900047545.1;PRJEB12597;SAMEA3861759;FITM00000000.1;;na;;431041;431041;Candidatus Synechococcus spongiarum;;1;latest;Contig;Major;Full;2016/10/18;m9;GeneWiz;GCF_900047545.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/047/545/GCA_900047545.1_m9;GCA_900047545.1_m9;74.82;;0.41;/home/vini/data/prosyn/./genbank/bacteria/GCA_900047545.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_900047545.1_m9_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_900047545.1_m9_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_900047545.1_m9_genomic_prodigal_genes.fna;1.409475;0.6185991237872257;Synechospongium;sp.;1;no
GCA_003523965.1;PRJNA417962;SAMN08019075;DOFR00000000.1;derived from metagenome;na;;2055762;2055762;Synechococcus sp. UBA8638;;UBA8638;latest;Scaffold;Major;Full;2018/09/07;ASM352396v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/523/965/GCA_003523965.1_ASM352396v1;GCA_003523965.1_ASM352396v1;69.15;;0.54;/home/vini/data/prosyn/./genbank/bacteria/GCA_003523965.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_003523965.1_ASM352396v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_003523965.1_ASM352396v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_003523965.1_ASM352396v1_genomic_prodigal_genes.fna;1.4451969999999998;0.6176292920619126;Synechospongium;sp.;UBA8638;no
GCA_009840445.1;PRJNA555144;SAMN12598247;VXNS00000000.1;derived from metagenome;na;;2604852;2604852;Synechococcus sp. SB0662_bin_14;;SB0662_bin_14;latest;Scaffold;Major;Full;2020/01/09;ASM984044v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/840/445/GCA_009840445.1_ASM984044v1;GCA_009840445.1_ASM984044v1;97.01;;0.82;/home/vini/data/prosyn/./genbank/bacteria/GCA_009840445.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009840445.1_ASM984044v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009840445.1_ASM984044v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009840445.1_ASM984044v1_genomic_prodigal_genes.fna;2.164299;0.6206873449555722;Synechospongium;sp.;SB0662_bin_14;
GCA_009839805.1;PRJNA555144;SAMN12598281;VXPA00000000.1;derived from metagenome;na;;2604853;2604853;Synechococcus sp. SB0662_bin_45;;SB0662_bin_45;latest;Scaffold;Major;Full;2020/01/09;ASM983980v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/839/805/GCA_009839805.1_ASM983980v1;GCA_009839805.1_ASM983980v1;71.83;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_009839805.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009839805.1_ASM983980v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009839805.1_ASM983980v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009839805.1_ASM983980v1_genomic_prodigal_genes.fna;1.548369;0.617895346651864;Synechospongium;sp.;SB0662_bin_45;
GCA_009839305.1;PRJNA555144;SAMN12598307;VXQA00000000.1;derived from metagenome;na;;2604854;2604854;Synechococcus sp. SB0663_bin_10;;SB0663_bin_10;latest;Scaffold;Major;Full;2020/01/09;ASM983930v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/839/305/GCA_009839305.1_ASM983930v1;GCA_009839305.1_ASM983930v1;75.07;;1.09;/home/vini/data/prosyn/./genbank/bacteria/GCA_009839305.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009839305.1_ASM983930v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009839305.1_ASM983930v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009839305.1_ASM983930v1_genomic_prodigal_genes.fna;1.608725;0.6208338901925438;Synechospongium;sp.;SB0663_bin_10;
GCA_009838425.1;PRJNA555144;SAMN12598349;VXRQ00000000.1;"derived from metagenome ; fragmented assembly";na;;2604855;2604855;Synechococcus sp. SB0664_bin_36;;SB0664_bin_36;latest;Scaffold;Major;Full;2020/01/09;ASM983842v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/838/425/GCA_009838425.1_ASM983842v1;GCA_009838425.1_ASM983842v1;65.63;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_009838425.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009838425.1_ASM983842v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009838425.1_ASM983842v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009838425.1_ASM983842v1_genomic_prodigal_genes.fna;1.314215;0.6263815281365682;Synechospongium;sp.;SB0664_bin_36;
GCA_009837735.1;PRJNA555144;SAMN12598384;VXSZ00000000.1;derived from metagenome;na;;2604856;2604856;Synechococcus sp. SB0665_bin_28;;SB0665_bin_28;latest;Scaffold;Major;Full;2020/01/09;ASM983773v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/837/735/GCA_009837735.1_ASM983773v1;GCA_009837735.1_ASM983773v1;80.8;;2.19;/home/vini/data/prosyn/./genbank/bacteria/GCA_009837735.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009837735.1_ASM983773v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009837735.1_ASM983773v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009837735.1_ASM983773v1_genomic_prodigal_genes.fna;1.746472;0.6198043827785387;Synechospongium;sp.;SB0665_bin_28;
GCA_009837265.1;PRJNA555144;SAMN12598407;VXTW00000000.1;derived from metagenome;na;;2604857;2604857;Synechococcus sp. SB0666_bin_14;;SB0666_bin_14;latest;Scaffold;Major;Full;2020/01/09;ASM983726v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/837/265/GCA_009837265.1_ASM983726v1;GCA_009837265.1_ASM983726v1;91.85;;1.09;/home/vini/data/prosyn/./genbank/bacteria/GCA_009837265.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009837265.1_ASM983726v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009837265.1_ASM983726v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009837265.1_ASM983726v1_genomic_prodigal_genes.fna;2.033085;0.6202888713457627;Synechospongium;sp.;SB0666_bin_14;
GCA_009836155.1;PRJNA555144;SAMN12598464;VXWB00000000.1;derived from metagenome;na;;2604858;2604858;Synechococcus sp. SB0667_bin_8;;SB0667_bin_8;latest;Scaffold;Major;Full;2020/01/09;ASM983615v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/836/155/GCA_009836155.1_ASM983615v1;GCA_009836155.1_ASM983615v1;90.85;;0.41;/home/vini/data/prosyn/./genbank/bacteria/GCA_009836155.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009836155.1_ASM983615v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009836155.1_ASM983615v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009836155.1_ASM983615v1_genomic_prodigal_genes.fna;1.820281;0.6240904563636054;Synechospongium;sp.;SB0667_bin_8;
GCA_009836025.1;PRJNA555144;SAMN12598470;VXWH00000000.1;derived from metagenome;na;;2604859;2604859;Synechococcus sp. SB0668_bin_13;;SB0668_bin_13;latest;Scaffold;Major;Full;2020/01/09;ASM983602v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/836/025/GCA_009836025.1_ASM983602v1;GCA_009836025.1_ASM983602v1;94.93;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_009836025.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009836025.1_ASM983602v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009836025.1_ASM983602v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009836025.1_ASM983602v1_genomic_prodigal_genes.fna;2.161298;0.6185560713978361;Synechospongium;sp.;SB0668_bin_13;
GCA_009835965.1;PRJNA555144;SAMN12598472;VXWJ00000000.1;derived from metagenome;na;;2604860;2604860;Synechococcus sp. SB0668_bin_15;;SB0668_bin_15;latest;Scaffold;Major;Full;2020/01/09;ASM983596v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/835/965/GCA_009835965.1_ASM983596v1;GCA_009835965.1_ASM983596v1;94.97;;1.22;/home/vini/data/prosyn/./genbank/bacteria/GCA_009835965.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009835965.1_ASM983596v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009835965.1_ASM983596v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009835965.1_ASM983596v1_genomic_prodigal_genes.fna;2.049233;0.6214266508493665;Synechospongium;sp.;SB0668_bin_15;
GCA_009846095.1;PRJNA555144;SAMN12598522;VXYH00000000.1;derived from metagenome;na;;2604861;2604861;Synechococcus sp. SB0669_bin_7;;SB0669_bin_7;latest;Scaffold;Major;Full;2020/01/09;ASM984609v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/846/095/GCA_009846095.1_ASM984609v1;GCA_009846095.1_ASM984609v1;89.66;;0.05;/home/vini/data/prosyn/./genbank/bacteria/GCA_009846095.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009846095.1_ASM984609v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009846095.1_ASM984609v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009846095.1_ASM984609v1_genomic_prodigal_genes.fna;2.049761;0.6170768201756205;Synechospongium;sp.;SB0669_bin_7;
GCA_009846115.1;PRJNA555144;SAMN12598523;VXYI00000000.1;derived from metagenome;na;;2604862;2604862;Synechococcus sp. SB0669_bin_8;;SB0669_bin_8;latest;Scaffold;Major;Full;2020/01/09;ASM984611v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/846/115/GCA_009846115.1_ASM984611v1;GCA_009846115.1_ASM984611v1;87.64;;1.63;/home/vini/data/prosyn/./genbank/bacteria/GCA_009846115.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009846115.1_ASM984611v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009846115.1_ASM984611v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009846115.1_ASM984611v1_genomic_prodigal_genes.fna;1.871053;0.6220604119712269;Synechospongium;sp.;SB0669_bin_8;
GCA_009845825.1;PRJNA555144;SAMN12598537;VXYW00000000.1;derived from metagenome;na;;2604863;2604863;Synechococcus sp. SB0670_bin_20;;SB0670_bin_20;latest;Scaffold;Major;Full;2020/01/09;ASM984582v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/845/825/GCA_009845825.1_ASM984582v1;GCA_009845825.1_ASM984582v1;87.09;;0.41;/home/vini/data/prosyn/./genbank/bacteria/GCA_009845825.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009845825.1_ASM984582v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009845825.1_ASM984582v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009845825.1_ASM984582v1_genomic_prodigal_genes.fna;1.930695;0.6202693848588202;Synechospongium;sp.;SB0670_bin_20;
GCA_009845105.1;PRJNA555144;SAMN12598571;VYAE00000000.1;derived from metagenome;na;;2604864;2604864;Synechococcus sp. SB0672_bin_10;;SB0672_bin_10;latest;Scaffold;Major;Full;2020/01/09;ASM984510v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/845/105/GCA_009845105.1_ASM984510v1;GCA_009845105.1_ASM984510v1;78.27;;1.46;/home/vini/data/prosyn/./genbank/bacteria/GCA_009845105.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009845105.1_ASM984510v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009845105.1_ASM984510v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009845105.1_ASM984510v1_genomic_prodigal_genes.fna;1.719077;0.618759369126572;Synechospongium;sp.;SB0672_bin_10;
GCA_009844725.1;PRJNA555144;SAMN12598591;VYAY00000000.1;derived from metagenome;na;;2604865;2604865;Synechococcus sp. SB0672_bin_6;;SB0672_bin_6;latest;Scaffold;Major;Full;2020/01/09;ASM984472v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/844/725/GCA_009844725.1_ASM984472v1;GCA_009844725.1_ASM984472v1;82.93;;1.36;/home/vini/data/prosyn/./genbank/bacteria/GCA_009844725.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009844725.1_ASM984472v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009844725.1_ASM984472v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009844725.1_ASM984472v1_genomic_prodigal_genes.fna;1.810019;0.6221034143840479;Synechospongium;sp.;SB0672_bin_6;
GCA_009844645.1;PRJNA555144;SAMN12598596;VYBD00000000.1;derived from metagenome;na;;2604866;2604866;Synechococcus sp. SB0673_bin_10;;SB0673_bin_10;latest;Scaffold;Major;Full;2020/01/09;ASM984464v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/844/645/GCA_009844645.1_ASM984464v1;GCA_009844645.1_ASM984464v1;88.81;;0.14;/home/vini/data/prosyn/./genbank/bacteria/GCA_009844645.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009844645.1_ASM984464v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009844645.1_ASM984464v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009844645.1_ASM984464v1_genomic_prodigal_genes.fna;1.857244;0.6214094647768413;Synechospongium;sp.;SB0673_bin_10;
GCA_009843485.1;PRJNA555144;SAMN12598654;VYDJ00000000.1;derived from metagenome;na;;2604867;2604867;Synechococcus sp. SB0675_bin_6;;SB0675_bin_6;latest;Scaffold;Major;Full;2020/01/09;ASM984348v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/843/485/GCA_009843485.1_ASM984348v1;GCA_009843485.1_ASM984348v1;95.38;;1.09;/home/vini/data/prosyn/./genbank/bacteria/GCA_009843485.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009843485.1_ASM984348v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009843485.1_ASM984348v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009843485.1_ASM984348v1_genomic_prodigal_genes.fna;2.111169;0.6197689526513511;Synechospongium;sp.;SB0675_bin_6;
