assembly_id	label	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_002760375.1_ASM276037v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_60AY4M2	NA	72	70	97.30	2.70	66	Yes
GCA_002760395.1_ASM276039v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_63AY4M1	NA	72	70	97.30	2.70	66	Yes
GCA_002760415.1_ASM276041v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_65AY6A5	NA	72	70	97.30	2.70	66	Yes
GCA_002760445.1_ASM276044v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_65AY640	NA	72	70	97.30	2.70	66	Yes
GCA_002760475.1_ASM276047v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_63AY4M2	NA	72	70	97.30	2.70	66	Yes
GCA_003011125.1_ASM301112v1_genomic_prodigal_proteins	Lacustricoccus_lacustris_TousA	NA	73	72	98.65	1.35	70	Yes
GCA_003149585.1_ASM314958v1_genomic_prodigal_proteins	Magnicoccus_indicus_XM-24	NA	73	72	98.65	1.35	71	Yes
GCA_003208775.1_ASM320877v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-686-A03	NA	41	40	55.41	1.35	40	Yes
GCA_003208835.1_ASM320883v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-683-C23	NA	62	62	83.78	0.00	58	Yes
GCA_003208975.1_ASM320897v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-676-F02	NA	43	43	58.11	0.00	37	Yes
GCA_003209005.1_ASM320900v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-673-D02	NA	54	54	72.97	0.00	54	Yes
GCA_003209035.1_ASM320903v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-673-B08	NA	42	41	56.76	1.35	39	Yes
GCA_003209135.1_ASM320913v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-670-D07	NA	42	41	56.76	2.70	40	Yes
GCA_003209155.1_ASM320915v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-670-F22	NA	60	60	81.08	0.00	59	Yes
GCA_003209165.1_ASM320916v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-670-B23	NA	70	69	94.59	1.35	66	Yes
GCA_003210315.1_ASM321031v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-686-F08	NA	34	34	45.95	0.00	30	No
GCA_003210375.1_ASM321037v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-686-B21	NA	54	54	72.97	0.00	51	Yes
GCA_003210475.1_ASM321047v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-683-G11	NA	29	29	39.19	0.00	29	No
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	Parasynechococcus_chilensis_AG-683-B21	NA	31	31	41.89	0.00	28	No
GCA_003210555.1_ASM321055v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-683-A03	NA	31	30	41.89	1.35	26	No
GCA_003210705.1_ASM321070v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-679-E23	NA	35	34	47.30	1.35	34	No
GCA_003210735.1_ASM321073v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-679-D13	NA	42	42	56.76	0.00	40	Yes
GCA_003210755.1_ASM321075v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-679-C18	NA	63	61	85.14	2.70	60	Yes
GCA_003210775.1_ASM321077v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-679-A04	NA	38	37	51.35	1.35	35	No
GCA_003210795.1_ASM321079v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-679-B05	NA	51	50	68.92	1.35	46	Yes
GCA_003210815.1_ASM321081v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-679-A02	NA	36	36	48.65	0.00	35	No
GCA_003210935.1_ASM321093v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-676-E23	NA	54	54	72.97	0.00	54	Yes
GCA_003210995.1_ASM321099v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-676-C06	NA	59	58	79.73	1.35	57	Yes
GCA_003211015.1_ASM321101v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-676-A21	NA	37	35	50.00	2.70	33	No
GCA_003211205.1_ASM321120v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-673-F03	NA	56	55	75.68	1.35	54	Yes
GCA_003211235.1_ASM321123v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-673-B04	NA	48	48	64.86	0.00	44	Yes
GCA_003211255.1_ASM321125v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-673-A10	NA	30	29	40.54	1.35	28	No
GCA_003211275.1_ASM321127v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._AG-673-A03	NA	35	35	47.30	0.00	35	No
GCA_003211515.1_ASM321151v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-670-F04	NA	28	27	37.84	1.35	25	No
GCA_003211535.1_ASM321153v1_genomic_prodigal_proteins	Parasynechococcus_sp._AG-670-A05	NA	65	64	87.84	1.35	59	Yes
GCA_003331225.1_ASM333122v1_genomic_prodigal_proteins	Inmanicoccus_sp._MED-G71	NA	65	64	87.84	1.35	62	Yes
GCA_003331245.1_ASM333124v1_genomic_prodigal_proteins	Parasynechococcus_sp._MED-G70	NA	55	54	74.32	1.35	52	Yes
GCA_003331765.1_ASM333176v1_genomic_prodigal_proteins	Parasynechococcus_chilensis_MED-G69	NA	63	62	85.14	1.35	60	Yes
GCA_003331785.1_ASM333178v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._MED-G68	NA	67	65	90.54	2.70	64	Yes
GCA_003331795.1_ASM333179v1_genomic_prodigal_proteins	Inmanicoccus_mediterranei_MED-G67	NA	65	64	87.84	1.35	62	Yes
GCA_003523965.1_ASM352396v1_genomic_prodigal_proteins	Synechospongium_sp._UBA8638	NA	60	60	81.08	0.00	53	Yes
GCA_003526105.1_ASM352610v1_genomic_prodigal_proteins	Parasynechococcus_sp._UBA8071	NA	53	52	71.62	1.35	47	Yes
GCA_003539795.1_ASM353979v1_genomic_prodigal_proteins	Parasynechococcus_sp._UBA9887	NA	65	63	87.84	4.05	53	Yes
GCA_003555505.1_ASM355550v1_genomic_prodigal_proteins	Thermosynechococcus_elongatus_PKUAC-SCTE542	NA	71	59	95.95	16.22	49	Yes
GCA_003712085.1_ASM371208v1_genomic_prodigal_proteins	Parasynechococcus_marenigrum_YX04-3	NA	73	72	98.65	1.35	68	Yes
GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins	Synechococcus_sp._PCC_11801	NA	72	71	97.30	1.35	66	Yes
GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins	Synechococcus_elongatus_UTEX_3055	NA	72	71	97.30	1.35	68	Yes
GCA_003990665.2_ASM399066v2_genomic_prodigal_proteins	Thermosynechococcus_vulcanus_NIES-2134	NA	71	70	95.95	1.35	66	Yes
GCA_004209775.1_ASM420977v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._WH_8101	NA	73	72	98.65	1.35	71	Yes
GCA_004212765.1_ASM421276v1_genomic_prodigal_proteins	Parasynechococcus_sp._MED-G133	NA	39	39	52.70	0.00	38	Yes
GCA_004213055.1_ASM421305v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._MED-G135	NA	70	69	94.59	1.35	67	Yes
GCA_004332405.1_ASM433240v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._BS56D	NA	72	70	97.30	2.70	70	Yes
GCA_004332415.1_ASM433241v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._BS55D	NA	72	70	97.30	2.70	70	Yes
GCA_005577135.1_ASM557713v1_genomic_prodigal_proteins	Enugrolinea_Euryhalinus_PCC_11901	NA	71	67	95.95	5.41	65	Yes
GCA_007828135.1_ASM782813v1_genomic_prodigal_proteins	Regnicoccus_sp._Ace-Pa	NA	72	69	97.30	4.05	69	Yes
GCA_008081095.1_ASM808109v1_genomic_prodigal_proteins	Parasynechococcus_sp._16_2	NA	46	44	62.16	2.70	40	Yes
GCA_008386235.1_ASM838623v1_genomic_prodigal_proteins	Thermosynechococcus_sp._CL-1	NA	71	70	95.95	1.35	66	Yes
GCA_009835965.1_ASM983596v1_genomic_prodigal_proteins	Synechospongium_sp._SB0668_bin_15	NA	69	68	93.24	1.35	66	Yes
GCA_009836025.1_ASM983602v1_genomic_prodigal_proteins	Synechospongium_sp._SB0668_bin_13	NA	70	69	94.59	1.35	65	Yes
GCA_009836155.1_ASM983615v1_genomic_prodigal_proteins	Synechospongium_sp._SB0667_bin_8	NA	65	65	87.84	0.00	62	Yes
GCA_009837265.1_ASM983726v1_genomic_prodigal_proteins	Synechospongium_sp._SB0666_bin_14	NA	70	69	94.59	1.35	65	Yes
GCA_009837735.1_ASM983773v1_genomic_prodigal_proteins	Synechospongium_sp._SB0665_bin_28	NA	66	64	89.19	2.70	61	Yes
GCA_009838425.1_ASM983842v1_genomic_prodigal_proteins	Synechospongium_sp._SB0664_bin_36	NA	49	49	66.22	0.00	44	Yes
GCA_009839305.1_ASM983930v1_genomic_prodigal_proteins	Synechospongium_sp._SB0663_bin_10	NA	59	58	79.73	1.35	52	Yes
GCA_009839805.1_ASM983980v1_genomic_prodigal_proteins	Synechospongium_sp._SB0662_bin_45	NA	49	49	66.22	0.00	39	Yes
GCA_009840445.1_ASM984044v1_genomic_prodigal_proteins	Synechospongium_sp._SB0662_bin_14	NA	70	68	94.59	2.70	64	Yes
GCA_009842105.1_ASM984210v1_genomic_prodigal_proteins	Synechospongium_sp._SB0678_bin_12	NA	66	65	89.19	1.35	60	Yes
GCA_009842265.1_ASM984226v1_genomic_prodigal_proteins	Synechospongium_sp._SB0677_bin_5	NA	68	66	91.89	2.70	63	Yes
GCA_009843385.1_ASM984338v1_genomic_prodigal_proteins	Synechospongium_sp._SB0676_bin_10	NA	65	64	87.84	1.35	59	Yes
GCA_009843455.1_ASM984345v1_genomic_prodigal_proteins	Synechospongium_sp._SB0675_bin_7	NA	67	64	90.54	4.05	61	Yes
GCA_009843485.1_ASM984348v1_genomic_prodigal_proteins	Synechospongium_sp._SB0675_bin_6	NA	71	70	95.95	1.35	67	Yes
GCA_009844645.1_ASM984464v1_genomic_prodigal_proteins	Synechospongium_sp._SB0673_bin_10	NA	66	65	89.19	1.35	62	Yes
GCA_009844725.1_ASM984472v1_genomic_prodigal_proteins	Synechospongium_sp._SB0672_bin_6	NA	62	61	83.78	1.35	55	Yes
GCA_009845105.1_ASM984510v1_genomic_prodigal_proteins	Synechospongium_sp._SB0672_bin_10	NA	58	55	78.38	4.05	49	Yes
GCA_009845825.1_ASM984582v1_genomic_prodigal_proteins	Synechospongium_sp._SB0670_bin_20	NA	68	66	91.89	2.70	62	Yes
GCA_009846095.1_ASM984609v1_genomic_prodigal_proteins	Synechospongium_sp._SB0669_bin_7	NA	67	64	90.54	4.05	58	Yes
GCA_009846115.1_ASM984611v1_genomic_prodigal_proteins	Synechospongium_sp._SB0669_bin_8	NA	67	66	90.54	1.35	61	Yes
GCA_009919765.1_ASM991976v1_genomic_prodigal_proteins	Inmanicoccus_mediterranei_WB6_4_196	NA	65	63	87.84	2.70	58	Yes
GCA_900047545.1_m9_genomic_prodigal_proteins	Synechospongium_sp._1	NA	63	63	85.14	0.00	59	Yes
GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly_genomic_prodigal_proteins	Enugrolinea_euryhalinus_OG1	NA	70	66	94.59	5.41	64	Yes
GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic_prodigal_proteins	Enugrolinea_euryhalinus_PCC_7002a	NA	70	66	94.59	5.41	64	Yes
GCA_900473895.1_N32_genomic_prodigal_proteins	Parasynechococcus_sp._N32	NA	73	72	98.65	1.35	70	Yes
GCA_900473925.1_N5_genomic_prodigal_proteins	Parasynechococcus_sp._N5	NA	73	72	98.65	1.35	70	Yes
GCA_900473935.1_UW105_genomic_prodigal_proteins	Pseudosynechococcus_sp._UW105	NA	73	72	98.65	1.35	71	Yes
GCA_900473955.1_GEYO_genomic_prodigal_proteins	Pseudosynechococcus_sp._GEYO	NA	71	70	95.95	1.35	70	Yes
GCA_900473965.1_UW179A_genomic_prodigal_proteins	Pseudosynechococcus_sp._UW179A	NA	73	72	98.65	1.35	72	Yes
GCA_900473975.1_N26_genomic_prodigal_proteins	Parasynechococcus_sp._N26	NA	73	72	98.65	1.35	70	Yes
GCA_900474015.1_UW106_genomic_prodigal_proteins	Parasynechococcus_sp._UW106	NA	73	72	98.65	1.35	69	Yes
GCA_900474045.1_N19_genomic_prodigal_proteins	Parasynechococcus_sp._N19	NA	73	72	98.65	1.35	70	Yes
GCA_900474085.1_UW86_genomic_prodigal_proteins	Parasynechococcus_sp._UW86	NA	72	71	97.30	1.35	69	Yes
GCA_900474185.1_UW69_genomic_prodigal_proteins	Parasynechococcus_sp._UW69	NA	73	72	98.65	1.35	68	Yes
GCA_900474245.1_UW179B_genomic_prodigal_proteins	Pseudosynechococcus_sudipacificus_UW179B	NA	72	71	97.30	1.35	70	Yes
GCA_900474295.1_UW140_genomic_prodigal_proteins	Pseudosynechococcus_sp._UW140	NA	73	72	98.65	1.35	71	Yes
